product,fabric,yarn,rubber,zipper,rope,silicon
pillowcases normal,0.629,3.867,0,50,0,0
pillowcases seat,0.441,3.437,0,50,0,0
pillowcases love,0.911,4.297,0,50,0,0
pillowcases relaxing,0.897,4.297,0,70,0,0
pillowcases baby,0.629,3.291,0,40,0,0
bolsters baby,0.288,3.916,0,0,96,0
bolsters adult,0.75,4.990,0,0,150,0
bed linen 180,3.96,8,200,0,0,0
bed linen 160,3.52,7.6,180,0,0,0
bed linen 150,3.3,7.4,160,0,0,0
bed linen 120,2.64,6.8,140,0,0,0
bed linen 100,2.2,6.4,120,0,0,0
bed linen 90,1.98,6.2,120,0,0,0
pillow normal,0.48,3.683,0,20,0,1
pillow seat,0.32,3.291,0,25,0,0.65
pillow love,0.72,4.071,0,30,0,1.5
pillow relaxing,0.72,4.071,0,25,0,1.5
pillow baby,0.24,3.157,0,15,0,0.25
bolster baby,0.24,3.727,0,10,0,0.6
bolster adult,0.665,4.687,0,15,0,1.5
